level,mode,success,seq_len,fc_bpm,rr_rpm,pwa,rt_ms,error_rate,i_cog,overload,apnea,ts_start,ts_end
1,CHUNKING,True,3,70.09345794392523,18.59504132231405,909.4983397113535,1302.782694498698,0.14285714285714285,-1.3571754193389396,False,False,1779135717.8010728,1779135724.7426445
2,CHUNKING,True,4,66.3716814159292,23.316062176165804,847.2289052876873,638.8755639394125,0.0,-1.132897759581599,False,False,1779135726.2597392,1779135732.5229833
3,CHUNKING,True,5,67.41573033707866,24.72527472527472,806.3849828051908,495.5349763234456,0.0,-0.9987192590730105,False,False,1779135734.0422788,1779135741.6078975
4,CHUNKING,False,6,61.47540983606557,27.10843373493976,557.7987359851656,2571.0360209147134,0.5,-0.353454548323467,False,False,1779135743.123012,1779135765.097335
