ts,nSeq,ppg,pzt
1779134956.7279892,128,634,502
1779134956.741724,129,663,502
1779134956.7505147,130,687,502
1779134956.7592163,131,701,501
1779134956.7718017,132,711,500
1779134956.7854953,133,712,500
1779134956.7905736,134,709,500
1779134956.8042047,135,699,500
1779134956.8104398,136,686,501
1779134956.8241942,137,670,500
1779134956.8329306,138,655,500
1779134956.846806,139,638,500
1779134956.8529346,140,620,500
1779134956.8667035,141,602,500
1779134956.8755453,142,585,499
1779134956.889313,143,566,499
1779134956.8904536,144,547,499
1779134956.9004612,145,528,498
1779134956.9092777,146,511,497
1779134956.9229665,147,494,497
1779134956.9317474,148,479,496
1779134956.940601,149,468,495
1779134956.954237,150,460,494
1779134956.962977,151,455,494
1779134956.9742336,152,455,493
1779134956.9992952,153,456,492
1779134957.0004656,154,457,491
1779134957.0254645,155,460,489
1779134957.0267694,156,461,488
1779134957.0393002,157,463,487
1779134957.0404627,158,462,485
1779134957.0542634,159,462,484
1779134957.0604725,160,459,482
1779134957.0605168,161,453,481
1779134957.0768147,162,447,479
1779134957.0779753,163,442,478
1779134957.094249,164,437,476
1779134957.1030455,165,430,474
1779134957.1118164,166,424,473
1779134957.1379948,167,418,472
1779134957.1391997,168,411,470
1779134957.1530213,169,406,468
1779134957.1542518,170,399,467
1779134957.168033,171,392,465
1779134957.1742437,172,389,463
1779134957.1855395,173,384,461
1779134957.1942592,174,384,460
1779134957.208009,175,384,459
1779134957.2092128,176,385,459
1779134957.2192378,177,386,457
1779134957.2280166,178,386,456
1779134957.2418442,179,383,455
1779134957.2480094,180,380,454
1779134957.2619472,181,376,452
1779134957.2705007,182,375,451
1779134957.2879896,183,373,450
1779134957.2892241,184,371,448
1779134957.3042505,185,370,447
1779134957.3129828,186,374,446
1779134957.3268528,187,380,444
1779134957.3329911,188,395,443
1779134957.3842459,189,414,441
1779134957.389267,190,441,440
1779134957.3904827,191,476,440
1779134957.3917801,192,517,439
1779134957.3929453,193,561,438
1779134957.394199,194,607,437
1779134957.4030027,195,652,436
1779134957.4092405,196,693,435
1779134957.4230406,197,727,435
1779134957.4318528,198,752,435
1779134957.4405339,199,768,434
1779134957.4519045,200,778,433
1779134957.460552,201,780,433
1779134957.474252,202,776,433
1779134957.4830542,203,768,433
1779134957.498066,204,755,432
1779134957.4992113,205,740,433
1779134957.5129917,206,726,432
1779134957.5269573,207,710,432
1779134957.5279698,208,695,432
1779134957.5429912,209,680,431
1779134957.5518272,210,664,431
1779134957.5605187,211,645,431
1779134957.5718284,212,627,430
1779134957.5805087,213,609,430
1779134957.5942616,214,591,430
1779134957.6030958,215,573,430
1779134957.614292,216,557,430
1779134957.6230404,217,542,429
1779134957.6368465,218,531,429
1779134957.6457477,219,523,429
1779134957.6568208,220,515,428
1779134957.6655657,221,511,428
1779134957.6792614,222,505,428
1779134957.693046,223,500,428
1779134957.694252,224,496,428
1779134957.695482,225,493,428
1779134957.7243092,226,491,428
1779134957.725473,227,489,427
1779134957.7505152,228,487,427
1779134957.751816,229,483,427
1779134957.76212,230,480,426
1779134957.7630205,231,476,426
1779134957.7905426,232,472,425
1779134957.7917721,233,467,424
1779134957.7929344,234,460,423
1779134957.8068326,235,452,423
1779134957.812996,236,444,422
1779134957.8231826,237,438,420
1779134957.836917,238,433,419
1779134957.8455122,239,428,419
1779134957.8467858,240,423,417
1779134957.8618984,241,419,416
1779134957.8705726,242,417,415
1779134957.879306,243,416,414
1779134957.8905275,244,415,413
1779134957.899391,245,414,414
1779134957.913035,246,414,414
1779134957.921851,247,411,414
1779134957.9330685,248,405,414
1779134957.9420664,249,397,414
1779134957.9556365,250,390,415
1779134957.9644759,251,382,415
1779134957.9756362,252,377,415
1779134957.9893901,253,372,415
1779134957.994307,254,372,415
1779134958.0082326,255,374,416
1779134958.0093899,256,379,416
1779134958.0230212,257,388,417
1779134958.0280142,258,404,417
1779134958.041974,259,427,419
1779134958.0530467,260,460,420
1779134958.0618186,261,502,421
1779134958.0755665,262,551,423
1779134958.1193213,263,604,425
1779134958.1207054,264,659,426
1779134958.1217864,265,712,429
1779134958.1229815,266,758,431
1779134958.124235,267,797,433
1779134958.1342947,268,827,435
1779134958.1482027,269,850,439
1779134958.1568737,270,865,443
1779134958.17068,271,871,446
1779134958.1717606,272,866,450
1779134958.1818285,273,855,454
1779134958.19056,274,837,459
1779134958.1992419,275,815,462
1779134958.210593,276,792,467
1779134958.2192352,277,768,470
1779134958.230525,278,748,473
1779134958.2442906,279,729,478
1779134958.2505856,280,711,483
1779134958.2643018,281,696,489
1779134958.2731073,282,682,494
1779134958.2868326,283,671,499
1779134958.2929785,284,664,504
1779134958.306764,285,660,509
1779134958.315488,286,658,515
1779134958.3293307,287,656,519
1779134958.3304706,288,657,525
1779134958.3405707,289,659,530
1779134958.3494847,290,664,534
1779134958.3630152,291,667,540
1779134958.3692846,292,670,545
1779134958.3830261,293,671,549
1779134958.396809,294,668,555
1779134958.4018295,295,664,559
1779134958.4305546,296,655,563
1779134958.4318862,297,647,568
1779134958.433037,298,635,571
1779134958.4455166,299,621,575
1779134958.4705622,300,606,578
1779134958.4718304,301,587,581
1779134958.491835,302,565,583
1779134958.4929786,303,543,585
1779134958.4942553,304,523,585
1779134958.4992313,305,505,586
1779134958.5130954,306,488,585
1779134958.5180264,307,473,585
1779134958.53432,308,459,583
1779134958.5356562,309,448,582
1779134958.553095,310,437,580
1779134958.5618398,311,428,579
1779134958.57308,312,418,577
1779134958.5819376,313,410,575
1779134958.5955036,314,402,574
1779134958.6043549,315,394,572
1779134958.6155756,316,384,570
1779134958.6242876,317,375,568
1779134958.6380641,318,367,566
1779134958.646894,319,359,564
1779134958.6480217,320,352,562
1779134958.658035,321,344,560
1779134958.6744123,322,338,556
1779134958.675491,323,331,553
1779134958.695568,324,327,550
1779134958.6967928,325,327,547
1779134958.710595,326,332,544
1779134958.719307,327,340,541
1779134958.730599,328,351,539
1779134958.744283,329,365,537
1779134958.7505782,330,383,536
1779134958.7620382,331,406,534
1779134958.773022,332,437,534
1779134958.7819457,333,474,533
1779134958.7955308,334,520,532
1779134958.804338,335,575,531
1779134958.8054957,336,634,531
1779134958.8594165,337,694,530
1779134958.860516,338,757,529
1779134958.861803,339,814,527
1779134958.863014,340,865,526
1779134958.8642812,341,906,525
1779134958.874337,342,934,524
1779134958.883053,343,951,524
1779134958.894328,344,957,523
1779134958.9030437,345,954,523
1779134958.9170547,346,944,523
1779134958.9255302,347,929,523
1779134958.9368942,348,910,523
1779134958.9505255,349,888,524
1779134958.9593158,350,865,525
1779134958.9680436,351,843,527
1779134958.9695961,352,820,528
1779134958.9793887,353,798,530
1779134958.9882267,354,775,532
1779134959.002006,355,751,533
1779134959.0105402,356,728,535
1779134959.0193326,357,704,536
1779134959.0330625,358,679,538
1779134959.0418277,359,653,539
1779134959.073101,360,628,540
1779134959.074252,361,607,540
1779134959.0754974,362,586,541
1779134959.0893137,363,567,541
1779134959.0905423,364,550,541
1779134959.1055856,365,535,541
1779134959.1142683,366,524,540
1779134959.1230338,367,515,540
1779134959.1292763,368,507,539
1779134959.1380463,369,500,537
1779134959.152222,370,495,536
1779134959.1605563,371,490,535
1779134959.1719015,372,484,534
1779134959.221823,373,480,532
1779134959.222988,374,476,531
1779134959.224226,375,473,529
1779134959.225478,376,472,529
1779134959.2267375,377,469,528
1779134959.236918,378,468,527
1779134959.2433205,379,464,527
1779134959.2542703,380,462,527
1779134959.2633102,381,459,527
1779134959.2768152,382,454,527
1779134959.2843168,383,447,527
1779134959.2904992,384,442,526
1779134959.2993646,385,435,526
1779134959.3080401,386,429,524
1779134959.3220737,387,423,524
1779134959.3280954,388,415,523
1779134959.3419845,389,404,522
1779134959.3507423,390,395,521
1779134959.3594487,391,385,521
1779134959.3706043,392,379,520
1779134959.3793616,393,374,518
1779134959.3931775,394,370,517
1779134959.401919,395,367,515
1779134959.413134,396,364,514
1779134959.4221392,397,364,513
1779134959.4355478,398,366,512
1779134959.4445958,399,371,510
1779134959.4455652,400,380,509
1779134959.460696,401,393,507
1779134959.4696777,402,415,506
1779134959.4830742,403,444,504
1779134959.4930208,404,484,503
1779134959.5020258,405,531,501
1779134959.5105398,406,588,500
1779134959.524411,407,648,499
1779134959.5305462,408,711,497
1779134959.544321,409,769,497
1779134959.590609,410,822,495
1779134959.592105,411,866,494
1779134959.5929916,412,899,492
1779134959.5943484,413,920,492
1779134959.5955908,414,932,488
1779134959.6119325,415,932,488
1779134959.6130466,416,923,485
1779134959.6183977,417,907,484
1779134959.6319633,418,883,482
1779134959.6405513,419,857,480
1779134959.651812,420,830,478
1779134959.6605518,421,804,476
1779134959.674426,422,781,473
1779134959.6830764,423,760,471
1779134959.7130468,424,739,470
1779134959.714273,425,719,468
1779134959.7155025,426,697,466
1779134959.7293322,427,674,465
1779134959.730564,428,649,462
1779134959.7455628,429,622,461
1779134959.7543662,430,593,459
1779134959.768372,431,566,458
1779134959.7693348,432,541,456
1779134959.7793622,433,519,455
1779134959.7880847,434,502,454
1779134959.8019032,435,489,452
1779134959.8080316,436,479,451
1779134959.8221667,437,473,450
1779134959.8306212,438,470,449
1779134959.8444045,439,468,448
1779134959.8530476,440,469,447
1779134959.8618495,441,469,446
1779134959.875616,442,470,446
1779134959.8843594,443,471,444
1779134959.8955517,444,470,443
1779134959.9092934,445,468,442
1779134959.9143574,446,465,441
1779134959.941847,447,459,440
1779134959.9430518,448,451,440
1779134959.9680536,449,442,439
1779134959.9693832,450,434,439
1779134959.9893103,451,423,438
1779134959.9906657,452,413,438
1779134959.9918706,453,403,437
1779134959.993048,454,392,436
1779134960.0067775,455,382,435
1779134960.0080311,456,371,435
1779134960.0243318,457,360,435
1779134960.0330396,458,352,434
1779134960.0419235,459,343,433
1779134960.053019,460,337,431
1779134960.061799,461,332,430
1779134960.075559,462,329,429
1779134960.0842805,463,329,428
1779134960.085513,464,330,428
1779134960.100633,465,331,427
1779134960.1092932,466,332,426
1779134960.1256511,467,332,425
1779134960.1268141,468,331,424
1779134960.1418726,469,330,423
1779134960.1506336,470,329,423
1779134960.164407,471,325,421
1779134960.1706326,472,324,420
1779134960.1843722,473,323,419
1779134960.193033,474,324,417
1779134960.2068875,475,327,416
1779134960.213005,476,338,414
1779134960.2268546,477,356,413
1779134960.2342854,478,388,412
1779134960.243084,479,430,411
1779134960.249372,480,483,410
1779134960.2581186,481,542,409
1779134960.2718034,482,607,409
1779134960.2806594,483,672,409
1779134960.3257089,484,736,408
1779134960.326893,485,787,407
1779134960.3519564,486,829,407
1779134960.3530982,487,860,407
1779134960.3606489,488,879,406
1779134960.3619683,489,887,408
1779134960.3630655,490,888,407
1779134960.3643181,491,879,408
1779134960.3756714,492,864,409
1779134960.3843887,493,844,409
1779134960.3981552,494,824,411
1779134960.4071574,495,798,412
1779134960.4082265,496,773,413
1779134960.4231625,497,745,414
1779134960.4318192,498,720,416
1779134960.4431021,499,696,417
1779134960.4543555,500,673,419
1779134960.4631484,501,653,419
1779134960.4768178,502,633,421
1779134960.4855914,503,612,422
1779134960.496897,504,592,424
1779134960.510814,505,573,425
1779134960.515642,506,553,426
1779134960.5293756,507,535,427
1779134960.5355604,508,522,429
1779134960.545574,509,510,430
1779134960.559338,510,502,431
1779134960.5681536,511,497,432
1779134960.5682178,512,491,433
1779134960.579312,513,485,435
1779134960.588172,514,481,436
1779134960.6020842,515,474,438
1779134960.6105604,516,467,439
1779134960.6217918,517,458,440
1779134960.6307023,518,451,442
1779134960.6456437,519,441,444
1779134960.650574,520,432,445
1779134960.675647,521,424,446
1779134960.6768737,522,416,448
1779134960.6993759,523,410,449
1779134960.7006545,524,405,451
1779134960.7018204,525,400,452
1779134960.7168179,526,394,454
1779134960.7255554,527,389,455
1779134960.7268088,528,384,457
1779134960.7430732,529,377,459
1779134960.753035,530,373,460
1779134960.7618272,531,368,461
1779134960.770605,532,363,463
1779134960.781785,533,359,464
1779134960.7905493,534,353,466
1779134960.8043182,535,347,467
1779134960.8130112,536,342,467
1779134960.8243003,537,337,468
1779134960.8331597,538,331,470
1779134960.846867,539,327,472
1779134960.8555226,540,324,473
1779134960.8655436,541,320,474
1779134960.8743792,542,316,476
1779134960.888111,543,313,477
1779134960.8893545,544,309,478
1779134960.9005342,545,308,480
1779134960.914318,546,310,481
1779134960.919375,547,313,481
1779134960.9330726,548,317,483
1779134960.9418101,549,320,484
1779134960.950639,550,323,486
1779134960.9643643,551,330,487
1779134960.9893293,552,343,488
1779134960.9905694,553,364,489
1779134961.002143,554,394,490
1779134961.0030541,555,433,492
1779134961.0170705,556,480,493
1779134961.0421925,557,533,495
1779134961.0430894,558,589,496
1779134961.0680842,559,644,498
1779134961.0692728,560,697,499
1779134961.0780776,561,743,500
1779134961.079271,562,780,502
1779134961.0805583,563,806,502
1779134961.0943842,564,821,504
1779134961.1006794,565,828,504
1779134961.1143076,566,826,506
1779134961.1205425,567,815,506
1779134961.134318,568,798,507
1779134961.140564,569,777,508
1779134961.1544182,570,754,510
1779134961.1631455,571,730,511
1779134961.1720755,572,705,512
1779134961.183054,573,684,513
1779134961.191792,574,664,514
1779134961.2055726,575,643,515
1779134961.2068207,576,621,515
1779134961.22312,577,600,516
1779134961.231808,578,581,517
1779134961.2405818,579,561,517
1779134961.254318,580,540,518
1779134961.260567,581,524,518
1779134961.2743483,582,507,519
1779134961.2869294,583,494,519
1779134961.2955756,584,483,519
1779134961.3068135,585,476,520
1779134961.3155787,586,472,520
1779134961.3293674,587,469,521
1779134961.3383732,588,467,521
1779134961.3495696,589,467,521
1779134961.363153,590,467,521
1779134961.3631737,591,467,521
1779134961.364309,592,466,521
1779134961.3781207,593,464,521
1779134961.411927,594,460,521
1779134961.4131052,595,455,521
1779134961.4318435,596,449,521
1779134961.4337206,597,440,521
1779134961.4342976,598,429,521
1779134961.4443877,599,419,521
1779134961.45063,600,408,521
1779134961.4644084,601,399,520
1779134961.470659,602,392,520
1779134961.4881039,603,386,520
1779134961.4893084,604,381,519
1779134961.5031583,605,376,519
1779134961.5143654,606,371,518
1779134961.5230985,607,366,518
1779134961.5293763,608,362,518
1779134961.5383685,609,358,516
1779134961.5493767,610,352,516
1779134961.5631142,611,348,515
1779134961.5693748,612,344,513
1779134961.5831451,613,343,512
1779134961.5918257,614,342,512
1779134961.6005626,615,340,511
1779134961.630629,616,341,511
1779134961.6318126,617,340,510
1779134961.6330345,618,342,507
1779134961.6431193,619,343,507
1779134961.6518707,620,344,505
1779134961.6657317,621,347,504
1779134961.6743205,622,347,503
1779134961.683063,623,348,502
1779134961.6893282,624,349,501
1779134961.6980774,625,355,500
1779134961.7093427,626,364,499
1779134961.7180812,627,382,498
1779134961.7318795,628,406,497
1779134961.7405603,629,438,496
1779134961.751929,630,478,496
1779134961.7768495,631,524,495
1779134961.778082,632,576,495
1779134961.8006058,633,632,494
1779134961.8018632,634,687,494
1779134961.8031058,635,739,493
1779134961.8182116,636,783,493
1779134961.823135,637,817,492
1779134961.8344173,638,839,491
1779134961.8431895,639,852,491
1779134961.849417,640,855,492
1779134961.8581405,641,849,491
1779134961.8693545,642,835,491
1779134961.8782256,643,814,491
1779134961.8919117,644,789,490
1779134961.9019508,645,764,490
1779134961.9105947,646,735,490
1779134961.919396,647,708,490
1779134961.9331603,648,682,489
1779134961.941955,649,659,488
1779134961.953744,650,636,488
1779134961.9669185,651,611,487
1779134961.9718513,652,588,487
1779134961.9864123,653,567,487
1779134961.99185,654,548,486
1779134962.005947,655,530,486
1779134962.0068383,656,515,486
1779134962.0206833,657,499,485
1779134962.032172,658,486,485
1779134962.0406363,659,476,484
1779134962.0544052,660,468,484
1779134962.0631874,661,462,483
1779134962.0743625,662,456,483
1779134962.0831256,663,451,483
1779134962.0970283,664,447,482
1779134962.1056628,665,443,482
1779134962.1143734,666,440,481
1779134962.162315,667,438,481
1779134962.1630783,668,435,480
1779134962.164358,669,431,480
1779134962.1655943,670,426,479
1779134962.1668415,671,419,479
1779134962.1768878,672,412,479
1779134962.1821415,673,403,478
1779134962.1885858,674,397,478
1779134962.2021928,675,390,477
1779134962.2106292,676,382,477
1779134962.219421,677,378,476
1779134962.2306445,678,375,476
1779134962.2394223,679,371,476
1779134962.270697,680,365,476
1779134962.2718463,681,361,475
1779134962.273335,682,355,475
1779134962.2831247,683,350,475
1779134962.291865,684,349,475
1779134962.306224,685,348,473
1779134962.3143697,686,346,473
1779134962.3244002,687,343,472
1779134962.3293898,688,338,472
1779134962.3387642,689,332,472
1779134962.3493884,690,327,471
1779134962.3583105,691,323,471
1779134962.3718677,692,320,471
1779134962.3807847,693,320,471
1779134962.3918567,694,319,470
1779134962.4006748,695,317,469
1779134962.414428,696,314,468
1779134962.4256852,697,310,468
1779134962.4319475,698,307,468
1779134962.4456336,699,308,468
1779134962.4543805,700,311,467
1779134962.4681358,701,318,467
1779134962.4744403,702,333,466
1779134962.4830732,703,354,465
1779134962.528199,704,382,465
1779134962.5293388,705,417,465
1779134962.5369058,706,461,465
1779134962.53809,707,512,464
1779134962.5393856,708,568,464
1779134962.5405908,709,623,464
1779134962.5519133,710,674,464
1779134962.5606086,711,718,464
1779134962.5743604,712,754,464
1779134962.5830927,713,781,465
1779134962.5943701,714,799,464
1779134962.6031582,715,808,464
1779134962.616877,716,807,464
1779134962.6281078,717,798,464
1779134962.634359,718,784,465
1779134962.6481566,719,768,465
1779134962.6493888,720,747,466
1779134962.6580894,721,727,465
1779134962.669363,722,707,465
1779134962.6781127,723,687,465
1779134962.6918516,724,667,465
1779134962.7006524,725,647,466
1779134962.7119226,726,627,465
1779134962.7206593,727,609,465
1779134962.731859,728,591,465
1779134962.740629,729,571,465
1779134962.7569408,730,553,464
1779134962.7581134,731,535,464
1779134962.7718797,732,518,464
1779134962.7856648,733,502,464
1779134962.7919014,734,487,463
1779134962.8056712,735,475,463
1779134962.8068569,736,464,463
1779134962.8206782,737,456,462
1779134962.831944,738,452,462
1779134962.840866,739,449,462
1779134962.8544512,740,449,461
1779134962.879437,741,448,461
1779134962.8806565,742,448,460
1779134962.91073,743,447,460
1779134962.911841,744,446,459
1779134962.928245,745,441,459
1779134962.9294696,746,437,459
1779134962.9305863,747,432,458
1779134962.9318764,748,427,457
1779134962.9481847,749,421,457
1779134962.9543579,750,416,457
1779134962.9681492,751,409,456
1779134962.9693997,752,402,455
1779134962.97833,753,393,455
1779134962.9893994,754,386,455
1779134962.9981487,755,377,454
1779134963.011881,756,368,453
1779134963.02068,757,361,453
1779134963.0318701,758,354,453
1779134963.040635,759,346,452
1779134963.0507455,760,340,451
1779134963.0643828,761,335,450
1779134963.0718849,762,331,451
1779134963.085642,763,329,450
1779134963.0944004,764,331,449
1779134963.1031535,765,333,448
1779134963.1144338,766,336,447
1779134963.1231515,767,337,446
1779134963.129369,768,339,446
1779134963.1381235,769,339,446
1779134963.1494122,770,336,445
1779134963.1581688,771,333,445
1779134963.1719384,772,330,443
1779134963.1807072,773,328,443
1779134963.1918924,774,328,442
1779134963.200626,775,328,441
1779134963.2143998,776,327,441
1779134963.2231634,777,324,440
1779134963.248221,778,322,440
1779134963.2494044,779,321,440
1779134963.2731953,780,324,439
1779134963.2743633,781,333,439
1779134963.2756052,782,350,438
1779134963.2856352,783,379,438
1779134963.294379,784,418,437
1779134963.2956278,785,467,437
1779134963.3119144,786,524,437
1779134963.3206816,787,586,437
1779134963.3294673,788,647,437
1779134963.3432302,789,706,437
1779134963.3494468,790,757,437
1779134963.363555,791,798,438
1779134963.372,792,827,438
1779134963.380694,793,843,438
1779134963.3918934,794,851,438
1779134963.4007359,795,848,439
1779134963.4145215,796,837,440
1779134963.4233613,797,818,440
1779134963.4344318,798,796,441
1779134963.4431484,799,772,443
1779134963.4494162,800,750,444
1779134963.458149,801,728,445
1779134963.4694412,802,708,445
1779134963.4782295,803,688,446
1779134963.4919116,804,668,447
1779134963.500748,805,649,448
1779134963.5119538,806,629,449
1779134963.5381947,807,607,451
1779134963.5398848,808,587,452
1779134963.5533152,809,568,453
1779134963.5543861,810,551,455
1779134963.5644655,811,535,456
1779134963.5731869,812,520,457
1779134963.5820642,813,506,459
1779134963.612023,814,495,460
1779134963.6131554,815,486,462
1779134963.6381793,816,480,464
1779134963.6394043,817,473,466
1779134963.6619415,818,470,468
1779134963.6637187,819,466,470
1779134963.6643608,820,463,471
1779134963.6656458,821,461,473
1779134963.6756513,822,459,474
1779134963.6844087,823,455,476
1779134963.693133,824,454,477
1779134963.702042,825,450,479
1779134963.71315,826,445,480
1779134963.7269275,827,440,482
1779134963.733159,828,433,483
1779134963.7469285,829,429,485
1779134963.7531316,830,424,486
1779134963.7669108,831,420,487
1779134963.7682097,832,415,488
1779134963.7818754,833,408,489
1779134963.788129,834,400,490
1779134963.801984,835,393,492
1779134963.810678,836,385,492
1779134963.8194413,837,379,494
1779134963.8306754,838,373,495
1779134963.8397493,839,367,496
1779134963.8531194,840,361,497
1779134963.8620045,841,358,497
1779134963.873149,842,355,499
1779134963.884404,843,351,500
1779134963.8931248,844,347,500
1779134963.9068773,845,345,500
1779134963.9131184,846,345,501
1779134963.9268858,847,346,502
1779134963.9281251,848,347,502
1779134963.94192,849,346,503
1779134963.9481463,850,344,504
1779134963.9731498,851,343,504
1779134963.9744,852,342,505
1779134963.9994736,853,341,505
1779134964.0007255,854,340,506
1779134964.0257204,855,341,507
1779134964.0268695,856,340,507
1779134964.0331457,857,341,508
1779134964.0344636,858,342,508
1779134964.0443952,859,345,508
1779134964.0531175,860,352,509
1779134964.0619323,861,366,509
1779134964.078141,862,385,510
1779134964.079402,863,414,511
1779134964.0881274,864,452,511
1779134964.0994225,865,503,511
1779134964.1106493,866,559,512
1779134964.1194365,867,618,513
1779134964.1331177,868,675,513
1779134964.1422055,869,729,514
1779134964.153174,870,775,515
1779134964.1618917,871,812,515
1779134964.195684,872,840,517
1779134964.1968975,873,856,516
1779134964.198171,874,864,518
1779134964.2056413,875,866,518
1779134964.2143774,876,857,518
1779134964.2281716,877,843,519
1779134964.2343595,878,824,519
1779134964.2481573,879,803,521
1779134964.2493947,880,782,521
1779134964.2581327,881,760,521
1779134964.269428,882,737,521
1779134964.2781258,883,714,522
1779134964.2918968,884,692,522
1779134964.3007042,885,672,523
1779134964.3131187,886,651,523
1779134964.3220336,887,628,524
1779134964.3670297,888,606,524
1779134964.3681855,889,584,524
1779134964.369465,890,563,524
1779134964.3706918,891,543,524
1779134964.37195,892,527,525
1779134964.3857462,893,513,525
1779134964.3920066,894,503,525
1779134964.4058177,895,498,525
1779134964.406902,896,494,525
1779134964.4182365,897,494,525
1779134964.4294977,898,494,525
1779134964.4382417,899,494,525
1779134964.4520164,900,496,525
1779134964.4607725,901,497,525
1779134964.4719384,902,499,525
1779134964.4807076,903,498,525
1779134964.4945042,904,495,525
1779134964.5033069,905,491,525
1779134964.5157552,906,485,526
1779134964.5244582,907,476,526
1779134964.5332105,908,467,526
1779134964.5469818,909,458,526
1779134964.5532513,910,447,527
1779134964.5669947,911,437,526
1779134964.5681813,912,429,527
1779134964.5819468,913,418,527
1779134964.588189,914,411,527
1779134964.6020682,915,402,528
1779134964.6107252,916,396,528
1779134964.6196833,917,391,528
1779134964.630867,918,386,529
1779134964.639632,919,384,529
1779134964.6532564,920,383,529
1779134964.6620193,921,384,529
1779134964.673191,922,382,529
1779134964.6819692,923,382,529
1779134964.728274,924,383,530
1779134964.72944,925,385,530
1779134964.7407293,926,387,531
1779134964.741885,927,387,531
1779134964.7432036,928,385,531
1779134964.7443995,929,380,530
1779134964.7556598,930,376,530
1779134964.7606616,931,371,529
1779134964.7694,932,369,528
1779134964.783147,933,368,527
1779134964.7893925,934,368,526
1779134964.8031774,935,368,526
1779134964.833208,936,372,525
1779134964.834413,937,380,524
1779134964.8356352,938,395,523
1779134964.8456793,939,419,522
1779134964.8544087,940,455,521
1779134964.8632488,941,501,520
1779134964.8744235,942,557,519
1779134964.8881626,943,619,518
1779134964.889441,944,683,516
1779134964.8981535,945,745,516
