ts,nSeq,ppg,pzt
1779134955.4480376,0,630,455
1779134955.4618256,1,627,459
1779134955.4704947,2,619,463
1779134955.479345,3,606,467
1779134955.4904547,4,588,471
1779134955.4992163,5,568,474
1779134955.5404735,6,548,477
1779134955.541635,7,527,480
1779134955.55042,8,507,483
1779134955.5516474,9,488,487
1779134955.552858,10,470,490
1779134955.5666466,11,454,493
1779134955.5729327,12,441,496
1779134955.586672,13,428,500
1779134955.5928717,14,414,503
1779134955.6066158,15,399,505
1779134955.6078632,16,386,508
1779134955.6216393,17,373,511
1779134955.6304073,18,365,513
1779134955.6392179,19,360,515
1779134955.6504707,20,358,517
1779134955.6591427,21,358,519
1779134955.6730149,22,358,520
1779134955.6816387,23,359,523
1779134955.6928866,24,360,524
1779134955.701638,25,362,526
1779134955.715446,26,364,527
1779134955.7242706,27,366,529
1779134955.7354722,28,367,531
1779134955.7442734,29,368,532
1779134955.7579155,30,368,535
1779134955.7666235,31,365,536
1779134955.7678587,32,362,537
1779134955.7828927,33,357,539
1779134955.791666,34,352,540
1779134955.8004212,35,345,541
1779134955.8116577,36,339,543
1779134955.8254836,37,334,543
1779134955.8329842,38,330,544
1779134955.8417192,39,324,544
1779134955.8704348,40,318,545
1779134955.871656,41,312,546
1779134955.8728719,42,306,547
1779134955.8978703,43,301,549
1779134955.8991127,44,297,550
1779134955.9204974,45,295,551
1779134955.9217496,46,296,551
1779134955.9230163,47,299,551
1779134955.9341474,48,303,552
1779134955.9432745,49,304,552
1779134955.9479713,50,308,553
1779134955.9619327,51,309,554
1779134955.967887,52,309,555
1779134955.9817464,53,308,556
1779134955.990497,54,311,556
1779134956.0041704,55,315,557
1779134956.010383,56,323,557
1779134956.0241795,57,337,557
1779134956.033097,58,356,558
1779134956.0429192,59,384,558
1779134956.0541377,60,419,559
1779134956.0678957,61,457,559
1779134956.0766559,62,496,559
1779134956.0904884,63,533,560
1779134956.0916731,64,566,560
1779134956.1016955,65,592,560
1779134956.1105204,66,612,560
1779134956.1191838,67,626,560
1779134956.13551,68,632,560
1779134956.1367292,69,630,560
1779134956.1492193,70,622,560
1779134956.163114,71,608,560
1779134956.1741514,72,593,559
1779134956.1829162,73,575,559
1779134956.196755,74,556,558
1779134956.2054024,75,537,558
1779134956.216671,76,520,557
1779134956.2304893,77,503,557
1779134956.235518,78,486,556
1779134956.2629123,79,470,556
1779134956.2641573,80,456,555
1779134956.2893898,81,444,554
1779134956.290526,82,433,553
1779134956.3141801,83,423,551
1779134956.315406,84,415,551
1779134956.3166945,85,409,549
1779134956.3178942,86,407,548
1779134956.3229344,87,408,547
1779134956.3317268,88,410,546
1779134956.3404825,89,415,544
1779134956.3542302,90,419,543
1779134956.3617725,91,423,542
1779134956.3729653,92,428,542
1779134956.3817887,93,430,540
1779134956.3954513,94,432,539
1779134956.4042318,95,433,538
1779134956.405402,96,432,536
1779134956.4204237,97,428,535
1779134956.4342332,98,422,534
1779134956.4391983,99,415,533
1779134956.455427,100,409,532
1779134956.4628994,101,404,531
1779134956.4717083,102,399,531
1779134956.4979653,103,393,529
1779134956.4991665,104,387,527
1779134956.5129929,105,381,526
1779134956.5141704,106,377,525
1779134956.5279655,107,373,524
1779134956.5342553,108,370,523
1779134956.5479856,109,366,521
1779134956.5568142,110,365,520
1779134956.568005,111,363,519
1779134956.5691772,112,363,517
1779134956.57925,113,363,516
1779134956.5879307,114,366,515
1779134956.6017165,115,368,514
1779134956.6079443,116,374,512
1779134956.633151,117,376,511
1779134956.6341958,118,378,510
1779134956.6529825,119,380,509
1779134956.6541827,120,388,508
1779134956.6618333,121,403,507
1779134956.670452,122,424,506
1779134956.6842892,123,452,505
1779134956.690626,124,486,504
1779134956.7042136,125,523,504
1779134956.7129471,126,562,503
1779134956.7216897,127,600,503
