level,mode,success,seq_len,fc_bpm,rr_rpm,pwa,rt_ms,error_rate,i_cog,overload,apnea,ts_start,ts_end
1,CHUNKING,True,3,66.96428571428572,21.505376344086024,930.6148704010834,2072.4987188975015,0.5714285714285714,-1.3002343495503723,False,False,1779135565.2978647,1779135574.559443
2,CHUNKING,True,4,68.3371298405467,24.324324324324323,511.99429230254367,882.5415770212809,0.0,-0.3999949977363766,False,False,1779135576.0777495,1779135583.4559705
3,CHUNKING,False,5,64.51612903225806,14.937759336099585,804.846328157573,975.57266553243,0.2,-1.5646539478665893,False,False,1779135584.9730787,1779135594.8055978
